decision_id,evaluation_year,candidate,threshold,month,rows,alerts,alerts_per_10000,review_hours_per_10000,capacity_per_10000,capacity_exceeded
D00062,2015,rf_profundo,0.035,2015-01,7381,2139,2897.98130334643,289.798130334643,50,True
D00062,2015,rf_profundo,0.035,2015-02,6529,1806,2766.1203859702864,276.61203859702863,50,True
D00062,2015,rf_profundo,0.035,2015-03,7599,2143,2820.107908935386,282.0107908935386,50,True
D00062,2015,rf_profundo,0.035,2015-04,7210,2075,2877.9472954230237,287.7947295423024,50,True
D00062,2015,rf_profundo,0.035,2015-05,7505,2077,2767.4883411059295,276.74883411059295,50,True
D00062,2015,rf_profundo,0.035,2015-06,7427,2012,2709.034603473812,270.90346034738116,50,True
D00062,2015,rf_profundo,0.035,2015-07,7406,2075,2801.7823386443424,280.1782338644343,50,True
D00062,2015,rf_profundo,0.035,2015-08,7473,2220,2970.694500200723,297.0694500200723,50,True
D00062,2015,rf_profundo,0.035,2015-09,7246,2060,2842.947833287331,284.2947833287331,50,True
D00062,2015,rf_profundo,0.035,2015-10,7404,2191,2959.211237169098,295.9211237169098,50,True
D00062,2015,rf_profundo,0.035,2015-11,7237,2090,2887.9369904656623,288.7936990465662,50,True
D00062,2015,rf_profundo,0.035,2015-12,7653,2152,2811.969162419966,281.1969162419966,50,True
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-01,7442,51,68.52996506315506,6.852996506315506,50,True
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-02,6710,28,41.72876304023845,4.172876304023845,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-03,7481,31,41.43831038631199,4.143831038631199,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-04,7160,36,50.279329608938546,5.027932960893854,50,True
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-05,7542,27,35.79952267303103,3.5799522673031032,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-06,7329,28,38.2043935052531,3.82043935052531,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-07,7442,30,40.3117441547971,4.031174415479709,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-08,7405,37,49.966239027684,4.9966239027684,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-09,7209,30,41.61464835622139,4.161464835622139,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-10,7362,35,47.541428959521866,4.754142895952187,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-11,7273,26,35.748659425271555,3.5748659425271554,50,False
D00137,2016,rf_variables_revisadas,0.017444595171504994,2016-12,7430,27,36.33916554508748,3.6339165545087484,50,False
D00212,2019,rf_actualizado,0.014357903872303419,2019-01,7361,27,36.679798940361366,3.6679798940361366,50,False
D00212,2019,rf_actualizado,0.014357903872303419,2019-02,6669,20,29.9895036737142,2.99895036737142,50,False
D00212,2019,rf_actualizado,0.014357903872303419,2019-03,7462,42,56.28517823639775,5.628517823639775,50,True
D00212,2019,rf_actualizado,0.014357903872303419,2019-04,7156,47,65.67915036333147,6.567915036333147,50,True
D00212,2019,rf_actualizado,0.014357903872303419,2019-05,7524,38,50.505050505050505,5.05050505050505,50,True
D00212,2019,rf_actualizado,0.014357903872303419,2019-06,7305,32,43.80561259411362,4.380561259411362,50,False
D00212,2019,rf_actualizado,0.014357903872303419,2019-07,7544,44,58.324496288441146,5.832449628844115,50,True
D00212,2019,rf_actualizado,0.014357903872303419,2019-08,7614,43,56.474914630943,5.647491463094299,50,True
D00212,2019,rf_actualizado,0.014357903872303419,2019-09,7396,29,39.210383991346674,3.9210383991346673,50,False
D00212,2019,rf_actualizado,0.014357903872303419,2019-10,7417,42,56.62666846433868,5.662666846433868,50,True
